@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Heres Tio Toto Pedro Ximenez, Jose Estevez',3490,4.7,Ispanija,Andalusija,?,'pedro himenes 100\%','Jose Estevez',17.0,0.75
'Vino Pinot Bianco, Cantina Terlan, 2021',4490,4.6,Italija,'Trentino-Al\'to Adidzhe',dry,'pino b\'janko 100\%','Cantina Terlan',13.5,0.75
'Vino El Ilusionista Verdejo, Bodegas Horacio Gomez Araujo, 2021',1918,4.8,Ispanija,'Kastilija i Leon',dry,verdeho,'Bodegas Horacio Gomez Araujo',13.0,0.75
'Vino Weissburgunder Mosel Dry, Nik Weis St. Urbans-Hof, 2022',2790,4.5,Germanija,'Mozel\'',dry,'pino blan 100\%','Nik Weis St. Urbans-Hof',12.0,0.75
'Portvejn Barros Ruby',2340,4.4,Portugalija,Doru,sweet,'turiga franka',Barros,19.5,0.75
'Vino Beaune Premier Cru Hospices de Beaune Cuvee Nicolas Rolin, Domaine Agnes Paquet, 2008',31490,5.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Agnes Paquet',13.5,0.75
'Vino L\'Ermita Velles Vinyes, Alvaro Palacios, 2014',264990,5.0,Ispanija,Katalonija,dry,'garnacha blanka 1\%','Alvaro Palacios',14.5,0.75
'Vino Bin 45 Cabernet Sauvignon, Lindeman\'s, 2020',1490,4.3,Avstralija,'Jugo-Vostochnaja Avstralija',semi-dry,'kaberne sovin\'on 100\%','Lindeman\'s',14.0,0.75
'Vino Merlot Reserve, Usad\'ba Markoth, 2021',2243,4.7,Rossija,'Kuban\'',dry,merlo,'Usad\'ba Markoth',13.0,0.75
'Vino Chateauneuf-du-Pape Telegramme, Vignobles Brunier, 2021',11190,4.9,Frantsija,'Dolina Rony',dry,senso,'Vignobles Brunier',15.0,0.75
'Vino UNA Pinot Noir, Golser Wein, 2022',2490,4.1,Avstrija,Burgenland,semi-dry,'pino nuar 100\%','Golser Wein',13.5,0.75
'Vino Lefkadija Beloe, 2022',1118,4.5,Rossija,'Kuban\'',dry,'sovin\'on blan',Lefkadija,13.5,0.75
'Vino Gnarly Dudes, Two Hands, 2020',5490,4.7,Avstralija,'Juzhnaja Avstralija',dry,'shiraz 100\%','Two Hands',14.2,0.75
'Vino Sovin\'on Blan, Sikory, 2023',1490,4.6,Rossija,'Kuban\'',dry,'sovin\'on blan 100\%',Sikory,12.0,0.75
'Vino Chablis Vieilles Vignes, Jean-Marc Brocard (Domaine Sainte-Claire), 2023',4868,4.6,Frantsija,Burgundija,dry,'shardone 100\%','Jean-Marc Brocard (Domaine Sainte-Claire)',12.5,0.75
'Vino Chianti Riserva, Melini, 2021',1890,4.6,Italija,Toskana,dry,kolorino,Melini,14.0,0.75
'Vino Red Stone Riesling, Gunderloch, 2020',2269,4.8,Germanija,Rejngessen,semi-dry,'risling 100\%',Gunderloch,11.5,0.75
'Vino Cabernet Sauvignon, Cielo, 2023',1490,4.0,Italija,Veneto,semi-dry,'kaberne sovin\'on',Cielo,12.5,0.75
'Vino Nierstein Riesling, Gunderloch, 2019',6290,4.9,Germanija,Rejngessen,dry,'risling 100\%',Gunderloch,11.5,0.75
'Vino Ballet Blanc Krasnaja Gorka, Galitskij i Galitskij, 2021',3490,4.6,Rossija,'Kuban\'',dry,'sovin\'on blan 20\%','Galitskij i Galitskij',12.0,0.75
'Vino Chateau Verdignan, 2010',5990,0.0,Frantsija,Bordo,dry,'kaberne fran','Chateau Verdignan',13.5,0.75
'Vino Bourgogne Blanc Les Ravry, Domaine Pierre Damoy, 2017',13490,0.0,Frantsija,Burgundija,dry,'shardone 100\%','Domaine Pierre Damoy',13.5,0.75
'Vino Muskateller, Nastl, 2022',3690,4.7,Avstrija,'Nizhnjaja Avstrija',semi-dry,'muskat 100\%',Nastl,11.5,0.75
'Vino Chateau Clerc Milon, 2008, 1.5 l',?,0.0,Frantsija,Bordo,dry,'pti verdo 2\%','Chateau Clerc Milon',13.0,1.5
'Vino Pommard, Olivier Leflaive Freres, 2015',22490,4.3,Frantsija,Burgundija,dry,'pino nuar 100\%','Olivier Leflaive Freres',13.0,0.75
'Vino Merlo Krasnaja Gorka, Galitskij i Galitskij, 2020',3490,4.7,Rossija,'Kuban\'',dry,'merlo 100\%','Galitskij i Galitskij',13.0,0.75
'Vino Puligny-Montrachet Premier Cru Hameau de Blagny, Domaine Comtesse de Cherisey, 2018, 1.5 l',67490,0.0,Frantsija,Burgundija,dry,'shardone 100\%','Domaine Comtesse de Cherisey',12.5,1.5
'Vino Fuoripista Pinot Grigio, Foradori, 2022',8790,5.0,Italija,'Trentino-Al\'to Adidzhe',dry,'pino gridzhio 100\%',Foradori,12.5,0.75
'Vino Mormoreto, Frescobaldi, 2016',12593,4.5,Italija,Toskana,dry,'pti verdo',Frescobaldi,14.5,0.75
'Vino La Capra Chenin Blanc, Fairview, 2023',2190,4.3,'Juzhnaja Afrika','Vestern Kejp',dry,'shenen blan 100\%',Fairview,12.5,0.75
'Vino La Capra Pinotage, Fairview, 2020',2190,4.3,'Juzhnaja Afrika','Vestern Kejp',dry,'pinotazh 100\%',Fairview,14.0,0.75
'Vino Ben Rye, Donnafugata, 2020',17490,5.0,Italija,Sitsilija,sweet,'zibibbo 100\%',Donnafugata,14.5,0.75
'Vino Kiedrich Grafenberg Riesling Trocken, Robert Weil, 2021',14990,5.0,Germanija,Rejngau,semi-dry,'risling 100\%','Robert Weil',13.0,0.75
'Vino Chateau Rauzan-Segla, 2008, 3 l',169990,0.0,Frantsija,Bordo,dry,'merlo 38\%','Chateau Rauzan-Segla',13.5,3.0
